price,size,price/size,balcony,juliet_balcony,basement,terrace,loggia,yard,attic,floor,rooms,bathrooms,state,building_type,built_year,elevator,furnished,kitchen_separate,kitchen_kitchenette,kitchen_window,separate_restroom,shower,bathtub,bidet,bathroom_window,offering,date_listed,street,subdivision,borough
19900,115,173.04347826087,0,0,0,1,0,0,0,3,3,2,high standard,apartment building,2019,1,1,0,0,1,0,,,0,0,private,2019-09-27,,,
19900,118,168.64406779661,0,0,0,1,0,0,0,4,3,,high standard,,2020,,,0,1,,0,,,0,0,agency,2023-06-18,Witolda,,Stare miasto
19000,120,158.333333333333,0,0,0,1,0,1,0,0,4,2,high standard,apartment building,2021,,1,0,1,,0,,,0,0,agency,2023-02-16,Bartla,,Śródmieście
18250,240.8,75.7890365448505,0,0,1,0,0,0,0,4,5,,high standard,,2014,1,,0,1,,0,,,0,0,agency,2016-02-18,Kanonia,,Stare miasto
18250,240.8,75.7890365448505,0,0,1,0,0,0,0,4,5,,high standard,,2014,1,,0,1,,0,,,0,0,agency,2015-12-09,Kanonia,,Stare miasto
18000,113,159.29203539823,0,0,0,0,0,0,0,4,3,,high standard,apartment building,2019,1,1,0,0,,0,,,0,0,agency,2022-01-24,Pomorska,,Stare miasto
17000,103,165.04854368932,0,0,0,0,0,0,0,44,3,,,,,,,0,0,,0,,,0,0,agency,2018-02-05,Gwiaździsta,,Krzyki
16900,112,150.892857142857,0,0,0,0,0,0,0,47,3,,,block of flats,2010,1,,0,0,,0,,,0,0,agency,2020-10-28,Gwiaździsta,,Krzyki
16000,110,145.454545454545,0,0,0,0,0,0,0,47,2,1,high standard,block of flats,2010,1,,0,1,,0,,,0,0,agency,2022-05-26,Gwiaździsta,,Krzyki
16000,118.74,134.748189321206,0,0,0,1,0,0,0,6,4,,high standard,apartment building,2016,1,1,0,0,,0,,,0,0,agency,2017-12-04,Podwale,,Stare miasto
16000,120,133.333333333333,0,0,0,1,0,0,0,1,4,2,,,,,1,0,0,,0,,,0,0,agency,2023-03-17,Racławicka,,Krzyki
16000,120,133.333333333333,0,0,1,1,0,0,0,5,5,2,,,,1,1,0,0,,0,,,0,0,agency,2022-05-31,Witolda,,Śródmieście
15999,150,106.66,1,0,0,0,0,0,0,4,3,2,high standard,,2019,,1,0,1,,0,1,1,0,0,agency,2022-12-09,Staromłyńska,,Stare miasto
15900,220,72.2727272727273,0,0,0,0,0,0,0,4,5,,,,2014,1,,0,0,,0,,,0,0,agency,2016-09-21,,,Stare miasto
15500,150,103.333333333333,0,0,1,1,0,0,0,7,3,,,,,1,1,0,0,,0,,,0,0,agency,2022-08-04,Białowieska,,Fabryczna
15000,106,141.509433962264,0,0,0,0,0,0,0,45,3,,very good,,2012,,,0,1,,0,,,0,0,agency,2023-06-06,Gwiaździsta,,Krzyki
15000,112,133.928571428571,0,0,0,0,0,0,0,47,2,,,,2010,1,,0,0,,0,,,0,0,agency,2021-01-14,Gwiaździsta,,Krzyki
15000,112.2,133.689839572193,0,0,0,1,0,0,0,6,4,2,very good,,2022,1,1,0,0,1,0,,,0,0,agency,2023-06-05,Witolda,,Stare miasto
15000,112.2,133.689839572193,1,0,0,0,0,0,0,6,4,2,very good,block of flats,2020,1,1,0,0,1,1,1,1,0,0,agency,2022-12-01,Witolda,,Śródmieście
15000,118.74,126.326427488631,0,0,0,1,0,0,0,6,4,,high standard,apartment building,2016,1,1,0,0,,0,,,0,0,agency,2022-05-06,Podwale,,Stare miasto
15000,124,120.967741935484,0,0,0,1,0,0,0,6,3,2,very good,,2016,,1,0,1,1,0,,,0,0,agency,2021-12-21,,,Stare miasto
15000,140,107.142857142857,0,0,0,1,0,0,0,5,3,,very good,,,1,,0,0,,0,,,0,0,agency,2022-02-23,,,
15000,146,102.739726027397,1,0,0,0,0,0,0,1,4,5,very good,,,,1,0,0,1,0,,,0,0,agency,2020-07-09,Komuny paryskiej,Przedmieście oławskie,Krzyki
15000,150,100,0,0,0,1,0,0,0,17,5,,,,,,,0,0,,0,,,0,0,agency,2019-07-16,Jesionowa,,Krzyki
15000,450,33.3333333333333,0,0,1,1,0,0,0,3,5,,very good,block of flats,2000,,,0,1,,0,,,0,0,agency,2023-03-16,Przyjaźni,Klecina,Krzyki
15000,450,33.3333333333333,0,0,1,1,0,0,0,3,5,,very good,,2003,,,0,1,,0,,,0,0,agency,2022-03-14,Przyjaźni,Klecina,Krzyki
15000,450,33.3333333333333,0,0,1,1,0,0,0,3,5,,,block of flats,2003,,,0,1,,0,,,0,0,agency,2022-03-07,Przyjaźni,Klecina,Krzyki
15000,450,33.3333333333333,0,0,0,1,0,0,0,3,5,,,block of flats,2003,,,0,1,,0,,,0,0,agency,2021-12-07,Przyjaźni,Klecina,Krzyki
14500,106,136.792452830189,0,0,0,0,0,0,0,4,3,,,,2018,,,0,0,,0,,,0,0,agency,2023-06-12,Pomorska,,Śródmieście
14500,106.1,136.663524976437,0,0,0,0,0,0,0,4,3,1,high standard,apartment building,2018,1,,0,1,,0,,,0,0,agency,2022-11-03,Pomorska,Nadodrze,Śródmieście
14500,107,135.514018691589,0,0,0,0,0,0,0,3,3,,,,2018,1,1,0,1,,0,,,0,0,agency,2023-06-01,,,
14500,142,102.112676056338,0,0,0,1,0,0,0,6,4,,,apartment building,2022,1,1,0,1,,1,,,0,0,agency,2023-05-15,Jana pawła ii,,Stare miasto
14200,117.57,120.779110317258,1,0,0,0,0,0,0,4,4,2,very good,,2017,,1,0,0,0,0,,,0,0,agency,2023-05-12,Podwale,Przedmieście oławskie,Krzyki
14000,120,116.666666666667,0,0,0,1,0,0,0,5,5,2,,,,1,1,0,0,,0,,,0,0,agency,2022-06-21,Witolda,,Stare miasto
14000,120,116.666666666667,0,0,1,1,0,0,0,5,5,2,,,,1,1,0,1,,0,,,0,0,agency,2022-06-07,Witolda,,Śródmieście
14000,151,92.7152317880795,1,0,0,0,0,0,0,,3,2,,,,1,1,0,1,,0,,,0,0,agency,2023-06-01,,,Stare miasto
14000,170,82.3529411764706,0,0,1,1,0,0,0,1,3,1,,,2008,,1,0,0,,0,,,0,0,agency,2022-08-09,,,Krzyki
14000,180,77.7777777777778,0,0,0,1,0,0,0,4,2,,,,2014,1,,0,1,,0,,,0,0,agency,2016-11-25,Ostrów tumski,,Stare miasto
14000,180.05,77.7561788392113,0,0,1,0,0,0,0,4,3,,high standard,apartment building,2014,1,,0,1,,0,,,0,0,agency,2015-12-09,Kanonia,,Stare miasto
14000,180.05,77.7561788392113,0,0,1,0,0,0,0,4,3,1,high standard,apartment building,2014,1,,0,1,,0,,,0,0,agency,2015-10-02,Kanonia,,Stare miasto
14000,240,58.3333333333333,0,0,0,1,0,0,0,4,6,,,,,1,0,0,0,,0,,,0,0,agency,2018-01-22,Sienkiewicza,Plac grunwaldzki,Śródmieście
13500,103,131.067961165049,0,0,0,0,0,0,0,44,3,,,,,,,0,0,,0,,,0,0,agency,2018-03-16,Gwiaździsta,,Krzyki
13500,120,112.5,0,0,1,1,0,0,0,5,5,2,,,2021,1,1,0,1,,0,,,0,0,agency,2023-02-13,,,Śródmieście
13500,145.46,92.8090196617627,0,0,0,0,1,0,0,6,4,,high standard,apartment building,2011,,,0,0,,0,,,0,0,agency,2023-01-30,Witolda,,Śródmieście
13001,122,106.565573770492,0,0,0,1,0,1,0,0,4,,very good,,,,,0,1,,0,,,0,0,agency,2023-05-22,Racławicka,Borek,Krzyki
13000,68,191.176470588235,0,0,0,0,0,0,0,,3,,,,,1,,0,1,,0,,,0,0,agency,2016-11-25,Dominikański,,Stare miasto
13000,72,180.555555555556,0,0,0,0,0,0,0,46,2,1,high standard,,2012,1,1,0,1,,0,1,1,0,0,agency,2020-06-25,,Powstańców śląskich,Krzyki
13000,120,108.333333333333,0,0,0,1,0,0,0,1,4,1,,,,,1,0,0,,0,,,0,0,agency,2023-06-01,Racławicka,,Krzyki
13000,121,107.438016528926,0,0,0,1,0,0,0,0,4,1,,,,,1,0,1,,0,,,0,0,agency,2023-04-14,Racławicka,,Krzyki
13000,150,86.6666666666667,0,0,0,0,0,0,0,17,4,,high standard,apartment building,2018,1,,0,0,,0,,,0,0,agency,2020-02-12,Jesionowa,,Krzyki
13000,151,86.0927152317881,0,0,0,1,0,0,0,17,5,,,,,,,0,0,,0,,,0,0,agency,2019-09-02,Jesionowa,,Krzyki
13000,171,76.0233918128655,0,0,0,1,0,0,0,5,4,2,high standard,,,,1,0,1,1,0,,,0,0,agency,2023-03-21,Szewska,,Stare miasto
13000,240,54.1666666666667,0,0,0,1,0,0,0,5,6,,very good,,,1,,0,1,,0,,,0,0,agency,2021-10-08,Matejki,,Śródmieście
12999,120,108.325,0,0,0,0,0,0,0,6,3,2,high standard,apartment building,2016,1,,0,1,,0,,,0,0,agency,2021-04-19,Podwale,,Stare miasto
12900,140,92.1428571428571,1,0,0,0,0,0,0,1,3,,high standard,apartment building,2013,1,,0,0,,0,,,0,0,agency,2016-09-30,Witolda,,Stare miasto
12600,100.5,125.373134328358,0,0,1,1,0,0,0,1,3,2,high standard,apartment building,2022,,1,1,0,1,0,1,1,1,0,agency,2023-05-22,Vesspuciego,,Śródmieście
12500,96,130.208333333333,1,0,0,0,0,0,0,4,3,,very good,,,,,0,1,,0,,,0,0,agency,2022-11-05,Staromłyńska,,Stare miasto
12500,97,128.865979381443,1,0,0,0,0,0,0,4,3,,very good,,2021,1,1,0,1,,0,,,0,0,agency,2022-11-03,Staromłyńska,,Stare miasto
12500,100,125,0,0,0,0,0,0,0,44,3,,very good,apartment building,2013,1,1,0,0,,0,,,0,0,agency,2018-03-02,Gwiaździsta,,Krzyki
12500,103,121.359223300971,0,0,0,0,0,0,0,44,3,,,,,,,0,0,,0,,,0,0,agency,2018-07-05,Gwiaździsta,Powstańców śląskich,Krzyki
12500,103,121.359223300971,0,0,0,0,0,0,0,44,3,1,high standard,,2012,1,1,0,1,,0,,,0,0,agency,2018-04-10,,Powstańców śląskich,Krzyki
12500,103,121.359223300971,0,0,0,0,0,0,0,44,3,,,,,,,0,0,,0,,,0,0,agency,2018-04-10,Gwiaździsta,,Krzyki
12500,104,120.192307692308,1,0,0,0,0,0,0,7,4,3,high standard,,2022,,1,0,0,1,0,,,0,0,agency,2023-04-29,Jana pawła ii,,Stare miasto
12500,118,105.932203389831,1,0,0,0,0,0,0,3,2,,high standard,,2020,1,,0,0,,0,,,0,0,agency,2023-06-18,,,Stare miasto
12500,120,104.166666666667,0,0,1,0,0,0,0,4,5,1,high standard,,1900,,1,1,0,1,0,,,0,0,private,2023-04-14,Uniwersytecka,,Stare miasto
12500,157.58,79.3247874095697,0,0,0,0,0,0,0,7,3,,high standard,,2014,1,,0,0,,0,,,0,0,agency,2020-02-12,Walońska,,Śródmieście
12500,181,69.060773480663,0,0,1,1,0,1,0,1,5,2,very good,,,,1,1,0,1,0,,,0,0,agency,2023-03-21,,Powstańców śląskich,Krzyki
12000,90,133.333333333333,1,0,0,0,0,0,0,3,3,,high standard,apartment building,2017,1,,0,0,,0,,,0,0,agency,2018-02-28,Witolda,,Stare miasto
12000,138,86.9565217391304,0,0,0,1,0,0,0,2,5,2,,,,,1,0,1,,0,,,0,0,agency,2022-09-09,,Biskupin,Śródmieście
12000,145.46,82.4969063660113,0,0,0,0,1,0,0,6,4,,high standard,,2011,1,,0,0,,0,,,0,0,agency,2021-12-09,Witolda,,Stare miasto
12000,145.46,82.4969063660113,0,0,0,0,1,0,0,6,4,,high standard,,2011,1,,0,0,,0,,,0,0,agency,2021-11-25,Witolda,,Stare miasto
